STATION,NAME,DATE,DAEV,DAWM,EVAP,MDEV,MDWM,MNPN,MXPN,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WDMV
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-11-13,,,0.6,,,,,0,0,0,79,58,73,205.1
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-11-14,,,0.33,,,,,0,0,0,78,54,72,83.9
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-11-15,,,0.22,,,,,0,0,0,74,43,71,29.8
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-11-16,,,0.26,,,,,0,0,0,71,51,64,85.7
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-11-17,,,0.2,,,,,0,0,0,67,45,65,92
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-11-18,,,0.21,,,,,0,0,0,65,35,56,31.1
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-11-19,,,0.12,,,,,0,0,0,64,35,57,24.2
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-11-20,,,0.12,,,,,0,0,0,65,43,60,36
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-11-21,,,0.18,,,,,0.04,0,0,67,45,64,29.8
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-11-22,,,0.18,,,,,0,0,0,65,40,58,93.2
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-11-23,,,0.13,,,,,0,0,0,66,36,61,13
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-11-24,,,0.1,,,,,0,0,0,63,41,52,24.9
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-11-25,,,0.2,,,,,0.2,0,0,62,47,52,14.3
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-11-26,,,0.03,,,,,0.01,0,0,65,45,61,24.2
